Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
Greece,Danaos Corporation ,Marathonas,8819940,Panama,,,Danaos Shipping Company Limited ,Boxcarrier No.6 Corporation ,Alang,India,2014-03-01 00:00:00,Fully Cellular Containership,1991,52181
Greece,Danaos Corporation ,Mytilini,8819952,Panama,,,Danaos Shipping Company Limited ,Boxcarrier No.8 Corporation ,Alang,India,2014-05-12 00:00:00,Fully Cellular Containership,1991,52181
Greece,Danaos Corporation ,Messologi,8819964,Panama,,,Danaos Shipping Company Limited ,Boxcarrier No.7 Corporation ,Alang,India,2014-05-17 00:00:00,Fully Cellular Containership,1991,52181
Greece,Diana Shipping Incorporated ,Spine,9081215,Marshall Islands,,,Diana Containerships Incorporated ,Micronesia Shipping Company Incorporated ,Alang,India,2013-12-31 00:00:00,Fully Cellular Containership,1996,53519
Greece,Diana Shipping Incorporated ,Don,9077458,Marshall Islands,,,Diana Containerships Incorporated ,Mejit Shipping Company Incorporated ,Alang,India,2014-03-11 00:00:00,Fully Cellular Containership,1995,53519
Greece,Dragnis Group ,MSC Anafi,9003304,Liberia,,,Goldenport Shipmanagement Limited ,Mona Marine S.A. ,Alang,India,2013-12-24 00:00:00,Fully Cellular Containership,1994,30526
Greece,Dragnis Group ,MSC Socotra,9074004,Panama,,,Goldenport Shipmanagement Limited,Seasight Marine Company,Alang,India,2014-04-26 00:00:00,Fully Cellular Containership,1995,60117
Greece,Elmira Shipping and Trading S.A. ,MPP Arrow,9225146,Comoros,Marshall Islands,2014-09-03 00:00:00,Elmira Shipping and Trading S.A. ,Ciceron Marine Corporation ,Alang,India,2014-10-03 00:00:00,General Cargo,2000,6714
Greece,Elmira Shipping and Trading S.A. ,Triumph,9235139,Comoros,Marshall Islands,2014-10-05 00:00:00,Elmira Shipping and Trading S.A. ,Gentian Enterprises Company ,Alang,India,2014-10-21 00:00:00,General Cargo,2001,6714
Greece,Elmira Shipping and Trading S.A. ,Shield,9169847,Comoros,Marshall Islands,2014-11-27 00:00:00,Elmira Shipping and Trading S.A. ,Mason Trading Limited ,Alang,India,2014-11-27 00:00:00,General Cargo,1998,6714
Greece,Elmira Shipping and Trading S.A. ,Bale,9144445,Comoros,Marshall Islands,2014-12-10 00:00:00,Elmira Shipping and Trading S.A. ,Viento Shipping Company ,Alang,India,2014-12-26 00:00:00,RoRo,1996,5760
Greece,Euroseas Limited ,Jolly,8907943,Marshall Islands,,,Eurobulk Limited ,Angelina Shipping Limited ,Alang,India,2014-03-27 00:00:00,Fully Cellular Containership,1993,27103
Greece,Fairport Shipping Limited ,Ainaftis,9190822,Panama,,,Fairport Shipping Limited ,Regina Shipping Corporation ,Alang,India,2014-12-15 00:00:00,General Cargo,2000,7970
Greece,G Bulk Corporation ,San Teodoro,8316584,Barbados,,,G Bulk Corporation ,Linden Marine S.A. ,Alang,India,2014-06-12 00:00:00,Bulk carrier,1985,17730
Greece,Hellenic Seaways Maritime S.A. ,Master,7718527,St. Kitts-Nevis,Greece,2013-12-11 00:00:00,Hellenic Seaways Maritime S.A. ,Hellenic Seaways Cargo Shipping Company ,Alang,India,2014-01-31 00:00:00,RoRo,1979,19386
Greece,Kollakis Group ,Summer Wind,8410574,Bahamas,,,Chartworld Shipping Corporation,Wind Shipping Corporation ,Alang,India,2014-08-27 00:00:00,Reefer,1985,12660
Greece,Naftomar Shipping & Trading Company Limited ,Gaz Pioneer,8013223,Panama,,,Naftomar Shipping & Trading Company Limited ,Phoenix Industries S.A. ,Alang,India,2014-07-07 00:00:00,Gas Carrier,1982,5924
Greece,Naftomar Shipping & Trading Company Limited ,Phony,7904190,Panama,,,Naftomar Shipping & Trading Company Limited ,Gaz East Maritime Corporation S.A. ,Alang,India,2014-04-11 00:00:00,Liquid Petroleum Gas Carrier,1986,8997
Greece,Roswell Navigation Corporation ,Kashima Bay,8213603,Panama,,,Roswell Navigation Corporation ,Kashima Bay Incorporated ,Alang,India,2014-07-13 00:00:00,Reefer,1984,9274
Greece,Seadar Shipmanagement S.A. ,Anoushka,8221404,Panama,,,Seadar Shipmanagement S.A. ,Fila Shipholding Company ,Alang,India,2014-11-05 00:00:00,Bulk carrier,1984,17066
Greece,Sifnos Navigation S.A. ,Sifnos Mare,8319550,Panama,,,Sifnos Navigation S.A. ,Shark Maritime S.A. ,Alang,India,2014-05-22 00:00:00,Bulk carrier,1985,18011
Greece,Technomar Shipping Incorporated ,Angie,8905543,Comoros,Malta,2014-09-30 00:00:00,Technomar Shipping Incorporated ,Hera Marine LLC ,Alang,India,2014-10-11 00:00:00,Fully Cellular Containership,1990,17700
Greece,Technomar Shipping Incorporated ,Dragon,8820212,Comoros,Liberia ,2014-10-01 00:00:00,Technomar Shipping Incorporated ,Hermes Marine LLC ,Alang,India,2014-10-14 00:00:00,Fully Cellular Containership,1990,17700
Greece,Tsakos Shipping and Trading S.A. ,Irene,9021693,Panama,,,Tsakos Shipping and Trading S.A. ,Master Fame S.A. ,Alang,India,2014-03-17 00:00:00,Fully Cellular Containership,1994,51571
Greece,Valiant Shipping S.A. ,Irini,8318336,Panama,,,Valiant Shipping S.A. ,Irini Shipping Corporation ,Alang,India,2014-05-26 00:00:00,Bulk carrier,1987,27417
Greece,Windforce Maritime Enterprises Incorporated ,Jimilta II,8307387,Malta,,,Windforce Maritime Enterprises Incorporated ,Ocean Seas Maritime Limited ,Alang,India,2014-11-15 00:00:00,Bulk carrier,1985,24942
Greece,Aegean Cargo Management S.A.,Aegean Pearl,7722621,St. Vincent & Grenadines ,Greece,2013-05-02 00:00:00,Aegean Cargo Management S.A.,Orca Shipholding S.A.,Aliaga,Turkey,2014-02-11 00:00:00,Roll On Roll Off ,1978,14444
Greece,Boumar Shipping Company,Evanthia M.,7702580,St. Kitts-Nevis ,,,Boumar Shipping Company,Aquajoy Shipping Company,Aliaga,Turkey,2014-02-24 00:00:00,General Cargo With Container Capacity ,1979,3271
Greece,Dimitrios Miras & Company,Martha,6813253,Greece ,,,Dimitrios Miras & Company,Olympia I E.N. ,Aliaga,Turkey,2014-05-27 00:00:00,Ferry ,1968,825
Greece,Eastern Mediterranean Trans,Nissiros,6602111,Greece ,,,Eastern Mediterranean Trans,Eastern Mediterranean Trans,Aliaga,Turkey,2014-04-28 00:00:00,General Cargo ,1966,1112
Greece,European Classical Cruises,Ocean Countess,7358561,Madeira ,,,European Classical Cruises,Maximus Nav. Limited,Aliaga,Turkey,2014-03-10 00:00:00,Passenger (Cruise) ,1976,16795
Greece,Hellenic Environmental Center S.A.,Ecoleader,8201040,Greece ,Liberia,2013-01-25 00:00:00,Hellenic Environmental Center S.A.,White Sea Shipping Incorporated,Aliaga,Turkey,2014-05-02 00:00:00,Product Tanker ,1983,17996
Greece,Jade S.A.,Rosellen,7812921,Panama ,Comoros,2013-01-13 00:00:00,Jade S.A.,Vadang Nav. S.A.,Aliaga,Turkey,2014-09-09 00:00:00,Roll On Roll Off ,1979,3887
Greece,Jay Management Corporation,Ippotis,9009633,Cyprus ,,,Jay Management Corporation,Eptanisos Maritime Limited ,Aliaga,Turkey,2014-07-09 00:00:00,Roll On Roll Off ,1992,11086
Greece,Melody Shipping Company,Aegean Fantasy,7700049,St. Vincent & Grenadines ,,,Melody Shipping Company,Fantasy S.A. ,Aliaga,Turkey,2014-07-10 00:00:00,Roll On Roll Off ,1978,10919
Greece,Nafplia Maritime Co,Panagiotis T.,8116659,Greece ,,,Nafplia Maritime Co,Nafplia Maritime Co,Aliaga,Turkey,2014-02-17 00:00:00,General Cargo ,1983,1785
Greece,Paralos II Shipping Company,Paralos,6816865,Greece ,,,Paralos II Shipping Company,Paralos II Shipping Company,Aliaga,Turkey,2014-06-26 00:00:00,General Cargo ,1968,1656
Greece,Quant Marine Company,Quant Cement II,7229760,St. Vincent & Grenadines ,,,Quant Marine Company,Quant Cement II Company ,Aliaga,Turkey,2014-06-24 00:00:00,Bulk Cement Carrier ,1973,5036
Greece,San Nikolla Shipmanagement S.A.,Haj Yamak,7312684,Panama ,,,San Nikolla Shipmanagement S.A.,San Nikolla SHPK ,Aliaga,Turkey,2014-01-27 00:00:00,General Cargo ,1973,3809
Greece,Saos Anonymos Naftiliaki Eteria Samothrakis,Thessaloniki,9120085,Malta ,,,Kamariotissa Shipping Company ,Thessaloniki Nav. Limited,Aliaga,Turkey,2014-03-21 00:00:00,Roll On Roll Off ,1995,5968
Greece,Saria Shipping Company,Agiantonis,6711493,Togo ,,,Saria Shipping Company,Saria Shipping Company,Aliaga,Turkey,2014-06-30 00:00:00,General Cargo ,1967,499
Greece,Sea Fighter N.E.,Golden Prince,7323449,Greece ,,,Sea Fighter N.E.,Sea Fighter N.E.,Aliaga,Turkey,2014-04-14 00:00:00,Passenger (Cruise) ,1973,7735
Greece,Seabulk Shipping S.A. ,Mor,8518649,Tanzania ,,,Seabulk Shipping S.A. ,Atlas Navigation S.A. ,Aliaga,Turkey,2014-09-21 00:00:00,General Cargo,1986,6210
Greece,Ships Corporation S.A,Fidelity I,8901016,Panama ,,,Ships Corporation S.A,Fidelity EX S.A. ,Aliaga,Turkey,2014-11-19 00:00:00,Fully Cellular Containership ,1992,3972
Greece,Technomar Shipping Incorporated,Trapani,8820224,Liberia ,,,Technomar Shipping Incorporated,Aretemis Marine LLC ,Aliaga,Turkey,2014-04-10 00:00:00,Fully Cellular Containership ,1990,17700
Greece,V.E.M.A. Shipping Company Limited,Baska,8301979,Moldova ,,,V.E.M.A. Shipping Company Limited,V.E.M.A. Shipping Company Limited,Aliaga,Turkey,2014-06-27 00:00:00,General Cargo With Container Capacity ,1983,2768
Greece,West Coast Maritime Company,Captain Dimitris,6706711,Greece ,,,West Coast Maritime Company,West Sea Maritime,Aliaga,Turkey,2014-07-10 00:00:00,General Cargo With Container Capacity ,1967,1266
Greece,Worldwide Ocean Chartering S.A.,Achilleas,8308070,Togo ,Panama,2014-03-27 00:00:00,Worldwide ShipManagement S.A. ,Achilleas Navigation S.A. ,Aliaga,Turkey,2014-04-07 00:00:00,Bulk Carrier ,1985,22953
Greece,Ancora Investment Trust Incorporated ,Halifax,8810932,Malta,,,Ancora Investment Trust Incorporated ,Trust A Maritime Limited ,Chittagong,Bangladesh,2014-01-18 00:00:00,Tanker,1992,16515
Greece,Ancora Investment Trust Incorporated ,Breeze A,9086708,Malta,,,Ancora Investment Trust Incorporated ,Breeze A Marine Limited ,Chittagong,Bangladesh,2014-02-14 00:00:00,Tanker,1994,21142
Greece,Ancora Investment Trust Incorporated ,Akti A,9112064,Malta,,,Ancora Investment Trust Incorporated ,Aktea Shipping Limited ,Chittagong,Bangladesh,2014-06-26 00:00:00,Tanker,1996,18493
Greece,Delta International Shipping Company S.A. ,Panagiotis D.,9013268,Malta,,,Delta International Shipping Company S.A. ,Amorgos Shipping Company Limited ,Chittagong,Bangladesh,2014-10-07 00:00:00,Bulk carrier,1991,35890
Greece,G Bulk Corporation ,Ariadne,8200503,Barbados,,,G Bulk Corporation ,Loriet Navigation Company,Chittagong,Bangladesh,2014-05-01 00:00:00,Bulk carrier,1984,17825
Greece,G Bulk Corporation ,Kate,8309737,Barbados,,,G Bulk Corporation ,Trigon Navigation Company Limited ,Chittagong,Bangladesh,2014-05-07 00:00:00,Bulk carrier,1985,17106
Greece,Genesis Seatrading Corporation ,Mare Doro,8401298,Malta,,,Genesis Seatrading Corporation ,Chester Maritime Limited ,Chittagong,Bangladesh,2014-10-13 00:00:00,Bulk carrier,1985,24639
Greece,Genesis Seatrading Corporation ,Rio Gold,8408521,Unknown,Malta,2014-10-24 00:00:00,Genesis Seatrading Corporation ,Casilda Shipping Limited ,Chittagong,Bangladesh,2014-02-11 00:00:00,Bulk carrier,1984,23663
Greece,Kristen Marine S.A. ,Mariner II,8301656,Cyprus,,,Kristen Marine S.A. ,Amsel Navigation Company Limited ,Chittagong,Bangladesh,2014-01-30 00:00:00,Bulk carrier,1984,12869
Greece,Olympic Shipping & Management S.A. ,Olympic Sponsor,9060601,Greece,,,Olympic Shipping & Management S.A. ,Fondren I Special Maritime Enterprise ,Chittagong,Bangladesh,2014-07-10 00:00:00,Tanker,1994,52196
Greece,Pikey Navigation S.A. ,Enarxis,8400452,St. Vincent & Grenadines,,,Pikey Navigation S.A. ,Panmar Navigation S.A. ,Chittagong,Bangladesh,2014-05-28 00:00:00,Bulk carrier,1986,18003
Greece,Socomar Management S.A. ,Kifangondo,8701492,Cook Islands,,,Socomar Management S.A. ,Cuito Cuanavale Shipping SA ,Chittagong,Bangladesh,2014-10-19 00:00:00,Bulk carrier,1989,21399
Greece,Technomar Shipping Incorporated ,Melina,9122605,Panama,,,Technomar Shipping Incorporated ,Dimitra Marine LLC ,Chittagong,Bangladesh,2014-10-08 00:00:00,Fully Cellular Containership,1995,58923
Greece,Aegean Marine Petroleum S.A. ,Leader,8400000,Panama,,,Aegean Bunkering Services Incorporated ,Pontos Navigation Incorporated ,Gadani,Pakistan,2014-09-03 00:00:00,Tanker,1985,43733
Greece,Amalthia Marine Incorporated,Hassan I,7519000,Panama,,,Amalthia Marine Incorporated,Sea Target Marine Incorporated ,Gadani,Pakistan,2014-08-14 00:00:00,Bulk carrier,1977,20502
Greece,Benelux Overseas Incorporated ,Benegas,8009387,Panama,,,Benelux Overseas Incorporated ,Angelson Investment & Development Incorporated ,Gadani,Pakistan,2014-10-09 00:00:00,Gas Carrier,1981,6222
Greece,Epaminondas G. Logothetis ,Yialia,8920062,Panama,,,Karlog Shipping Company Limited ,Lyon Shipping & Trading Company Limited ,Gadani,Pakistan,2014-10-18 00:00:00,Bulk carrier,1990,36725
Greece,Eurotankers Incorporated ,Mire,9039597,Liberia,,,Eurotankers Incorporated ,Eurofinance Services ,Gadani,Pakistan,2014-04-12 00:00:00,Tanker,1994,52157
Greece,Eurotankers Incorporated ,Europrogress,8915328,Liberia,,,Eurotankers Incorporated ,Pamela Transportation Limited ,Gadani,Pakistan,2014-10-23 00:00:00,Tanker,1991,52164
Greece,Fairdeal Group Management S.A. ,Fair Spirit,8913148,Liberia,,,Fairdeal Marine Services LLC ,Fair Spirit Maritime Limited ,Gadani,Pakistan,2014-02-27 00:00:00,Tanker,1991,53988
Greece,G Bulk Corporation ,Alceste,8306981,Barbados,,,G Bulk Corporation ,Alcea Navigation Corporation ,Gadani,Pakistan,2014-11-07 00:00:00,Bulk carrier,1984,22215
Greece,G Bulk Corporation ,Santa Barbara,8109010,Barbados,,,G Bulk Corporation ,Marvel Oceanway SA ,Gadani,Pakistan,2014-11-19 00:00:00,Bulk carrier,1984,24844
Greece,Kristen Marine S.A. ,Spirit of Brazil,8515740,Marshall Islands,,,Kristen Marine S.A. ,Rioja Finance Incorporated ,Gadani,Pakistan,2014-07-09 00:00:00,Bulk carrier,1986,36591
Greece,Mallah Ship Management Company Limited ,ABM Challenger,9032068,Belize,,,Mallah Ship Management Company Limited ,Challenger Navigation S.A. ,Gadani,Pakistan,2014-11-28 00:00:00,Bulk carrier,1994,18813
Greece,Mallah Ship Management Company Limited ,Oryx M,8307363,Panama,,,Mallah Ship Management Company Limited ,Oryx Maritime S.A. ,Gadani,Pakistan,2014-09-20 00:00:00,Bulk carrier,1984,24942
Greece,Marachart Shipping Company Limited ,Nadeen,7614771,Tanzania,,,Marachart Shipping Company Limited ,Mariam Shipping Incorporated ,Gadani,Pakistan,2014-08-10 00:00:00,General Cargo,1980,9020
Greece,Marine Trust Limited ,Ruby,9050278,Liberia,,,Marine Trust Limited ,Loadstar Management Incorporated ,Gadani,Pakistan,2014-04-03 00:00:00,Tanker,1994,81803
Greece,Marine Trust Limited ,Ce-Wave,9030204,Liberia,,,Marine Trust Limited ,Rialto Nav. S.A. ,Gadani,Pakistan,2014-04-24 00:00:00,Tanker,1992,54935
Greece,Navios Maritime Holdings Incorporated ,Splendor,9004530,Comoros,Hong Kong,2014-05-28 00:00:00,Navios Maritime Acquisition Corporation ,Shinyo Loyalty Limited ,Gadani,Pakistan,2014-05-29 00:00:00,Tanker,1993,160299
Greece,Olympic Shipping & Management S.A. ,Flair,8913966,St. Kitts-Nevis,Greece,2014-09-15 00:00:00,Olympic Shipping & Management S.A. ,Granton Special Maritime Enterprise ,Gadani,Pakistan,2014-09-16 00:00:00,Tanker,1991,81194
Greece,Pendulum Shipmanagement Incorporated,Progress,8806864,Panama,,,Pendulum Shipmanagement Incorporated,Myrtle Maritime Incorporated ,Gadani,Pakistan,2014-07-26 00:00:00,Bulk carrier,1989,21469
Greece,Pendulum Shipmanagement Incorporated ,Adventure,8806852,Panama,,,Pendulum Shipmanagement Incorporated ,Fanari Maritime Incorporated ,Gadani,Pakistan,2014-09-03 00:00:00,Bulk carrier,1989,21469
Greece,Polembros Shipping Limited ,Naxos Warrior,8809385,Liberia,,,Polembros Shipping Limited ,Mascot Nav. Corporation ,Gadani,Pakistan,2014-03-13 00:00:00,Bulk carrier,1990,75801
Greece,Polembros Shipping Limited ,Mykonos Warrior,9033971,Liberia,,,Polembros Shipping Limited ,Parthenon Navigation Corporation ,Gadani,Pakistan,2014-06-18 00:00:00,Tanker,1996,79643
Greece,Polembros Shipping Limited ,Athens Warrior,9004528,Liberia,,,Polembros Shipping Limited ,Top Victory Shipping Limited ,Gadani,Pakistan,2014-07-25 00:00:00,Tanker,1993,160214
Greece,Polyar Shipping Company Limited ,Kition,9074561,Bahamas,,,Polyar Tankers AS ,Kition Shipping Company Limited ,Gadani,Pakistan,2014-05-04 00:00:00,Tanker,1994,53829
Greece,Rosella Maritime Company ,Global Destiny,7402439,Panama,,,Rosella Maritime Company ,Rosella Maritime Company ,Gadani,Pakistan,2014-08-31 00:00:00,Salvage Tug,1975,2708
Greece,The Veniamis Group ,Aghios Makarios,8600167,Greece,,,Golden Union Shipping Company S.A. ,X-Ray Shipping S.A. ,Gadani,Pakistan,2014-11-02 00:00:00,Bulk carrier,1987,47828
Hong Kong,Accord Maritime Services Limited ,Cathay Morski,8318879,Panama,,,Accord Maritime Services Limited ,Solitaire Group Holding Limited ,Alang,India,2014-02-19 00:00:00,Bulk carrier,1984,22089
Hong Kong,Arbross Ship Management Company Limited ,Formentera ,EID,Panama,,,Arbross Ship Management Company Limited ,Happy Seas Navigation Company Limited ,Alang,India,0,Tank Barge,1973,3514
Hong Kong,Fujian Shipping Enterprises Limited ,Jina,7928055,Tuvalu,Hong Kong,2014-05-03 00:00:00,Fujian Shipping Enterprises Limited ,Fujian Shipping Enterprises Limited ,Alang,India,2014-06-05 00:00:00,Bulk carrier,1981,16079
Hong Kong,Hong Sheng Da Shipmanagement Private Limited ,Xing Peng Da,8220163,Panama,,,Hong Sheng Da Shipmanagement Private Limited ,Xing Peng Da Shipping Limited ,Alang,India,2014-07-16 00:00:00,Bulk carrier,1983,36526
Hong Kong,Huabao Marine Limited ,Faith,8225436,Cambodia,,,Huabao Marine Limited ,Huajin Shipping & Trading Limited ,Alang,India,2014-03-04 00:00:00,General Cargo,1982,12811
Hong Kong,Shenghao Marine Hong Kong Limited ,Ji Da,8208323,Cambodia,Panama,2014-11-11 00:00:00,Shenghao Marine Hong Kong Limited ,Jinjiang Shipping Private Limited ,Alang,India,2014-10-17 00:00:00,Bulk carrier,1983,16887
Hong Kong,Sinokor Company Limited ,Golden W.,8401054,Tuvalu,South Korea,2014-07-02 00:00:00,Kookyang Shipping Company Limited ,Kookyang Shipping Company Limited ,Alang,India,2014-08-01 00:00:00,Fully Cellular Containership,1984,8651
Hong Kong,Sinokor Company Limited ,Masan,8213562,Tuvalu,South Korea,2014-07-14 00:00:00,Sinokor Merchant Marine Company Limited ,Sinokor Merchant Marine Company Limited ,Alang,India,2014-07-29 00:00:00,Fully Cellular Containership,1983,3597
Hong Kong,Windspeed Enterprise Limited ,Will,9153678,St. Kitts-Nevis,Bahamas,2014-04-12 00:00:00,Windspeed Enterprise Limited ,Windspeed Enterprise Limited ,Alang,India,2014-05-10 00:00:00,General Cargo,1996,9068
Hong Kong,Binhai Shipping Company Limited ,Bin Hai No. 1,9006746,Panama,,,Binhai Shipping Company Limited ,Binhai Shipping Company Limited ,Chittagong,Bangladesh,2014-03-02 00:00:00,Bulk carrier,1991,40797
Hong Kong,Crystal Ocean Limited ,Orange Breeze,8311003,St. Kitts-Nevis,,,Crystal Ocean Limited ,Crystal Ocean Limited ,Chittagong,Bangladesh,2014-05-07 00:00:00,Bulk carrier,1984,23242
Hong Kong,Dalian Panocean International Ship Management Company Limited ,Golden Time,8518792,Panama,,,Dalian Panocean International Ship Management Company Limited ,Golden Time International Shipping Company Limited ,Chittagong,Bangladesh,2014-11-13 00:00:00,General Cargo,1986,5545
Hong Kong,Dalian Panocean International Ship Management Company Limited ,Golden Trip,8224030,Puerto Rico,Panama,2014-05-18 00:00:00,Dalian Panocean International Ship Management Company Limited ,Golden Trip International Shipping Company Limited ,Chittagong,Bangladesh,2014-06-25 00:00:00,General Cargo,1983,4028
Hong Kong,Ever Glory Maritime Company Limited ,Minxi,8220101,Panama,,,Ever Glory Maritime Company Limited ,Minxi Shipping (Hong Kong) Company Limited ,Chittagong,Bangladesh,2014-08-22 00:00:00,Bulk carrier,1983,21870
Hong Kong,Full Cheong Maritime Limited ,Chang You,8130722,Panama,,,Full Cheong Maritime Limited ,Full Cheong Maritime Limited ,Chittagong,Bangladesh,2014-04-13 00:00:00,Bulk carrier,1983,23646
Hong Kong,Hong Kong Huawei Shipping Group Company Limited ,Sino Grace,8807454,Panama,,,Hong Kong Huawei Shipping Group Company Limited ,Huajun International Shipping Limited ,Chittagong,Bangladesh,2014-09-17 00:00:00,Bulk carrier,1989,40988
Hong Kong,Ji Zhou Shipping Company Limited ,Ji Peng,8403583,Hong Kong,,,Ji Zhou Shipping Company Limited ,Ji Zhou Shipping Company Limited ,Chittagong,Bangladesh,2014-12-26 00:00:00,Fully Cellular Containership,1984,5953
